,title,artist
0,Fast Car,Luke Combs
1,Take Two,BTS
2,Last Night,Morgan Wallen
3,Need A Favor,Jelly Roll
4,"81 Million Votes, My Ass",The Truth Bombers & Kari Lake
5,Save Me (with Lainey Wilson),Jelly Roll
6,Son,Mitch Rossell
7,Flowers,Miley Cyrus
8,Thank God I Do,Lauren Daigle
9,Rode Hard,Danae Hays
10,Calm Down,Rema & Selena Gomez
11,Bust a Move,Young MC
12,Son Of A Sinner,Jelly Roll
13,Thinkin’ Bout Me,Morgan Wallen
14,Funky Cold Medina,Tone-Loc
15,Dance The Night,Dua Lipa
16,Area Codes,Kali
17,Pound Town 2,"Sexyy Red, Nicki Minaj & Tay Keith"
18,Stand By Me (feat. Morgan Wallen),Lil Durk
19,Thicc As Thieves,Lauren Alaina & Lainey Wilson
20,All My Life (feat. J. Cole),Lil Durk
21,TRUSTFALL,P!nk
22,Wild Thing,Tone-Loc
23,Let Me In,EXO
24,VULGAR,Sam Smith & Madonna
25,Cruel Summer,Taylor Swift
26,Thought You Should Know,Morgan Wallen
27,Favorite Song,Toosii
28,Heart Like A Truck,Lainey Wilson
29,Dancin’ In The Country,Tyler Hubbard
30,Thank God,Kane Brown & Katelyn Brown
31,Love You Anyway,Luke Combs
32,Karma,Taylor Swift
33,Anti-Hero,Taylor Swift
34,Religiously,Bailey Zimmerman
35,If You Were Mine,Miranda Lambert & Leon Bridges
36,Eyes Closed,Ed Sheeran
37,Heaven,Niall Horan
38,Rock and A Hard Place,Bailey Zimmerman
39,One Thing At A Time,Morgan Wallen
40,To the Bar,Cooper Alan
41,Mourning,Post Malone
42,Something in the Orange (Z&E's Version),Zach Bryan
43,Popular,"The Weeknd, Playboi Carti & Madonna"
44,Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee"
45,Praise You Anywhere,Brandon Lake
46,Bury Me in Georgia (Single Edit),Kane Brown
47,Watermelon Moonshine,Lainey Wilson
48,Next Thing You Know,Jordan Davis
49,Can She Have This Dance,Drew Baldridge
50,Tennessee Orange,Megan Moroney
51,Chemical,Post Malone
52,Dial Drunk,Noah Kahan
53,Tennessee Whiskey,Chris Stapleton
54,Daylight,David Kushner
55,Fast Car,Tracy Chapman
56,Unstoppable,Sia
57,Wasted On You,Morgan Wallen
58,Hip Hop Hooray (Re-recorded Version),Naughty By Nature
59,wait in the truck,HARDY & Lainey Wilson
60,Sure Thing,Miguel
61,Ella Baila Sola,Eslabon Armado & Peso Pluma
62,Halfway To Hell,Jelly Roll
63,Waffle House,Jonas Brothers
64,Take Me Out,Carrie Underwood
65,Shivers,Ed Sheeran
66,Peaches,Jack Black
67,Try That In A Small Town,Jason Aldean
68,O.P.P. (Re-recorded Version),Naughty By Nature
69,Cupid (Twin Ver.),FIFTY FIFTY
70,You Proof,Morgan Wallen
71,Oklahoma Smokeshow,Zach Bryan
72,WHERE SHE GOES,Bad Bunny
73,One Margarita (Margarita Song),"That Chick Angel, Casa Di & Steve Terrell"
74,red flag collector,Kelly Clarkson
75,Gratitude,Brandon Lake
76,TRUCK BED,HARDY
77,Drinkaby,Cole Swindell
78,Slut Me Out,NLE Choppa
79,PLEBADA,El Alfa & Peso Pluma
80,Whiskey Glasses,Morgan Wallen
81,I Ain't Worried,OneRepublic
82,Makeba,Jain
83,Karma (feat. Ice Spice),Taylor Swift
84,Perfect,Ed Sheeran
85,Thunderstruck,AC/DC
86,Lilith (Diablo IV Anthem),"Halsey, SUGA of BTS"
87,As It Was,Harry Styles
88,You Need To Calm Down,Taylor Swift
89,Lover,Taylor Swift
90,Hits Different,Taylor Swift
91,Life Goes On (feat. Luke Combs),Ed Sheeran
92,Your Heart Or Mine,Jon Pardi
93,Memory Lane,Old Dominion
94,HAPPY,NF
95,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee
96,Beat You There,Will Dempsey
97,'Til You Can't,Cody Johnson
98,Put It On Da Floor Again (feat. Cardi B),Latto
99,Chasin' You,Morgan Wallen
